Site,sample,year,season,Crangonyx.pseudogracilis,Gammarus.pulex...fossarum,Corbicula.fluminea,Musculium.lacustre,Pisidium.sp.,Sphaerium.sp.,Anodonta.anatina,Agabus.bipustulatus,Agabus.undulatus,Agabus.sturmii,Hydaticus.seminiger,Hydroporus.palustris,Hygrotus.impressopunctatus,Hyphydrus.ovatus,Ilybius.fuliginosus,Stictotarsus.duodecimpustulatus,Haliplus.flavicollis,Haliplus.fluviatilis,Haliplus.laminatus,Haliplus.lineatocollis,Haliplus.obliquus,Haliplus.ruficollis,Haliplus.gr..ruficollis..flu.ruf.heyd...femelles.,Peltodytes.caesus,Haliplidae.ind.,Helophorus.minutus,Hydraena.melas,Hydraena.palustris,Hydraena..gr..riparia...assimilis,Hydrochara.caraboides,Chrysomelidae.ind.,Agabus.sp.,Dytiscus.sp,Graptodytes.sp.,Hydroporus.sp.,Hyphydrus.sp,Ilybius.sp.,Laccophilus.sp.,Stictotarsus.sp,Dytiscidae.ind.,Elmis.sp.,Esolus.sp.,Oulimnius.sp.,Peltodytes.sp.,Haliplus.sp.,Helochares.sp.,Laccobius.sp.,Dasyheleinae,Ceratopogonidae.ind.,Chaoborus.sp.,Chironomidae.ind.,Anophelinae.ind.,Culicidae.ind.,Dolichopodidae.ind.,Hemerodromia.sp,Ephydridae.ind.,Muscidae.ind.,Pilaria.sp.,Stratiomyidae.ind.,Tabanidae.ind.,Tipulidae.ind.,Cloeon.dipterum,Caenis.horaria,Caenis.luctuosa,Caenis.macrura,Caenis.sp,Caenis.robusta,Potamanthus.luteus,Siphlonorus.aestivalis,Acroloxus.lacustris,Bithynia.tentaculata,Potamopyrgus.antipodarum,Lymnaea.stagnalis,Radix.auricularia,Radix.balthica,Radix.sp.,Stagnicola.sp.,Physa.fontinalis,Haitia.acuta,Anisus.vortex,Anisus.vorticulus,Ferrissia.clessiniana,Gyraulus.albus,Gyraulus.parvus,Hippeutis.complanatus,Planorbis.carinatus,Planorbidae.ind.,Valvata.cristata,Valvata.piscinalis,Corixinae.ind.,Micronecta.sp.,Gerris.sp.,Ilyocoris.cimicoides,Notonecta.sp.,Plea.minutissima,Microvellia.sp.,Erpobdella.octoculata,Erpobdella.sp,Erpobdellidae.ind.,Alboglossiphonia.sp,Glossiphonia.sp.,Helobdella.stagnalis,Hemiclepsis.marginata,Theromyzon.tessulatum,Hydrachnidia.ind.,Asellus.aquaticus,Cataclysta.lemnata,Parapoynx.stratiotata,Elophila.gr..nymphaeta...rivulalis,Sialis.lutaria,Aeshna.sp.,Aeshnidae.ind.,Boyeria.irene,Coenagrion.gr..puella...pulchellum,Erythromma.viridulum,Coenagrionidae.ind.,Ischnura.elegans,Pyrrhosoma.nymphula,Lestes.viridis,Sympetrum.gr..striolatum,Platycnemis.cf.pennipes,Leuctra.sp.,Hydroptila.sp.,Athripsodes.aterrimus,Athripsodes.sp.,Leptocerus.tineiformis,Mystacides.azurea,Mystacides.longicornis,Mystacides.sp.,Anabolia.nervosa,Glyphotaelius.pellucidus,Limnephilus.flavicornis,Limnephilus.germanus,Limnephilus.gr..germanus...lunatus,Limnephilus.lunatus,Limnephilus.nigriceps,Agrypnia.varia,Turbellaria.ind.,Dugesia...Planaria.sp.,Girardia.tigrina,Polycelis.nigra...tenuis,Polycelis.sp.
BEAR,1,14,spring,0,25,0,0,61,11,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,735,0,193,0,0,0,0,0,0,0,0,0,0,45,1,0,0,0,0,0,1,0,12,0,0,0,0,2,0,0,0,6,0,0,6,0,4,1,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,54,0,0,0,1,0,0,0,24,0,21,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0
BEAR,2,14,spring,0,68,0,7,57,5,0,0,1,0,1,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2366,0,235,0,0,0,0,0,0,0,0,2,0,58,5,0,0,1,0,1,2,0,27,1,0,3,0,0,1,0,1,7,0,0,3,0,67,2,12,0,1,3,0,0,0,0,1,0,0,2,0,2,1,0,0,0,6,90,0,0,0,4,0,0,0,35,0,12,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,5,0,0,0,1,0,0,0
BEAR,4,14,spring,0,2,0,8,95,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,127,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,18,0,2,3,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,81,0,0,0,1,0,0,0,12,0,5,0,1,0,0,0,0,0,16,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0
BEAR,1,14,summer,1,14,0,3,21,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,56,0,55,0,1,0,0,1,0,0,1,1,3,6,0,0,0,0,0,0,0,0,94,0,0,0,2,0,4,0,0,32,0,0,0,2,4,3,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,114,0,0,0,13,0,0,0,2,0,45,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEAR,2,14,summer,0,9,0,26,262,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,262,0,604,0,0,0,0,5,0,0,1,0,1,27,1,0,0,0,0,0,0,0,125,0,0,0,2,0,0,4,0,21,0,0,4,0,7,4,0,0,0,1,0,0,0,0,0,0,1,0,3,6,0,0,1,0,5,96,0,0,0,44,0,0,0,11,0,67,0,2,0,0,5,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,0,5
BEAR,3,14,summer,0,9,0,14,133,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,61,618,0,29,0,0,1,0,0,0,7,7,5,3,1,0,0,0,0,0,0,0,0,56,0,0,5,1,0,12,0,0,16,0,0,3,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,39,0,0,0,37,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
GRAN,1,14,spring,0,7,0,11,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,8,0,104,0,0,0,0,0,0,0,0,4,0,0,49,15,9,0,0,13,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
GRAN,2,14,spring,0,1,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,15,5,0,68,0,0,0,0,0,0,0,0,2,0,0,15,9,4,0,0,26,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GRAN,3,14,spring,0,3,0,17,8,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,6,1,0,159,0,0,0,0,0,0,0,0,3,0,1,98,14,8,0,0,18,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAN,1,14,summer,0,0,0,5,4,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,55,0,143,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,36,0,0,1,0,0,0,0,9,4,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
GRAN,3,14,summer,0,0,2,2,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52,0,452,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,23,3,0,0,3,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,55,0,0,0,23,0,0,0,1,0,5,0,0,0,0,1,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAN,4,14,summer,0,0,0,4,9,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,5,0,0,0,0,1,707,2,0,0,0,0,0,0,1,0,0,64,2,0,0,0,0,0,0,0,16,2,0,0,0,2,0,0,19,10,0,0,1,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,69,1,0,0,25,0,0,0,0,0,11,0,0,0,1,1,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
MOIR,1,14,spring,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,85,4,0,0,0,0,0,0,0,0,0,31,0,0,2,0,0,0,0,0,0,3,0,22,15,525,0,0,31,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,50,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,4,1,0,0
MOIR,2,14,spring,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,27,500,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOIR,3,14,spring,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,5,0,1,0,2,0,0,17,0,0,0,1,0,320,2,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,6,0,0,16,189,0,0,124,0,0,0,0,13,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0
MOIR,2,14,summer,2,2,0,0,15,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,9,0,107,3,0,0,0,2,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,4,0,196,0,25,0,0,84,0,0,0,0,4,0,28,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,38,0,0,0,0,0,0,0,0,0,24,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,5,0,2
MOIR,3,14,summer,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,147,3,1,0,0,1,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,3,0,131,0,6,0,0,123,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,8,95,0,0,0,1,0,0,0,0,0,29,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,0
MOIR,4,14,summer,13,49,0,0,18,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,232,15,12,0,0,1,0,0,1,0,0,76,0,0,0,0,0,0,0,0,0,3,0,45,0,3,0,0,95,0,0,0,0,0,0,51,0,0,66,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,3,94,0,0,0,0,0,0,0,0,0,74,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,5,5,0
MORT,1,14,spring,2,0,0,0,19,10,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,435,0,0,0,0,0,0,0,2,0,0,38,2,0,0,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,18,0,16,13,0,8,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,7,4,0,0,0,0,0,0,0,77,0,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,1,0,0,0,9,0,0,0
MORT,2,14,spring,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,283,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,5,0,0,0,26,0,5,0,0,0,0,0,0,0,0,0,20,0,14,7,0,25,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,10,5,0,1,0,0,0,0,0,112,0,13,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0
MORT,3,14,spring,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,460,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,6,0,0,0,28,0,1,0,0,0,0,0,1,0,0,0,16,0,6,4,0,16,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,12,1,0,1,1,0,0,0,0,44,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0
MORT,1,14,summer,0,0,0,0,23,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,3,50,1,48,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,1,0,0,0,69,0,0,0,0,1,0,0,8,1,0,0,4,0,0,5,0,4,0,0,0,0,3,0,0,0,0,0,0,4,0,1,1,0,8,2,0,0,0,2,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
MORT,2,14,summer,0,0,0,0,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,34,0,0,0,0,0,1,0,1,1,0,66,0,0,0,0,0,0,0,0,45,0,6,0,0,0,0,0,2,0,0,0,2,0,1,3,0,10,0,0,0,0,2,0,0,0,0,0,0,14,0,20,1,0,15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORT,3,14,summer,0,0,0,0,21,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,33,0,0,0,16,2,71,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,321,0,8,0,0,0,0,0,2,0,0,1,12,0,14,4,0,11,0,11,0,0,8,0,1,0,0,0,0,35,1,3,10,0,9,11,0,0,0,1,0,1,0,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSS,2,14,spring,0,0,0,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,92,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,11,0,12,0,10,3,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
ROSS,3,14,spring,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,165,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,32,0,14,0,26,11,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2,4,1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ROSS,4,14,spring,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,185,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,1,12,0,1,0,38,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ROSS,1,14,summer,0,0,0,1,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,76,0,0,2,1,0,142,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,2,0,13,1,2,0,44,16,0,14,0,0,0,0,0,0,1,0,0,0,0,8,1,1,0,1,9,71,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSS,2,14,summer,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,17,0,0,0,6,33,0,4,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,1,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSS,3,14,summer,0,0,0,0,109,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,191,2,2,0,0,0,0,0,2,0,0,29,0,0,0,0,0,0,0,0,42,0,6,0,0,0,0,3,0,0,20,0,0,0,15,0,6,0,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,8,14,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
VILO,1,14,spring,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41,0,2422,0,0,0,0,0,0,0,0,0,0,8,5,0,1,0,4,0,0,24,1,0,1,0,0,0,0,0,11,0,48,0,0,0,13,1,0,12,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,16,7,0,0,0,0,0,0,0,24,0,4,1,0,0,0,0,0,0,17,0,1,0,0,0,1,1,3,2,1,0,0,0,0,2,0,0,0
VILO,2,14,spring,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,87,1,1071,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,6,1,0,4,1,0,0,0,0,0,0,0,1,0,20,0,0,0,12,0,0,26,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
VILO,3,14,spring,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,1,788,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,20,0,0,1,1,0,0,0,0,0,0,0,8,0,56,0,0,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
VILO,1,14,summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,2,447,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,37,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VILO,3,14,summer,0,0,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,185,0,0,0,0,0,0,0,1,0,0,28,0,0,0,0,24,0,0,3,5,0,10,0,0,0,3,0,58,0,25,0,0,0,38,4,0,1,2,11,0,0,2,0,8,0,0,0,0,16,0,0,1,0,105,0,0,0,0,9,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0
VILO,4,14,summer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,232,0,0,0,0,0,0,0,0,0,0,13,1,0,0,1,32,0,0,0,5,0,10,0,0,0,0,0,43,0,22,0,0,15,6,0,4,3,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,61,0,0,0,0,1,0,1,2,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
